0.0009375,0.00412251
0.001875,0.00769318
0.0028125,0.0108028
0.00375,0.0135068
0.0046875,0.0158556
0.005625,0.0178934
0.0065625,0.019659
0.0075,0.0211865
0.0084375,0.0225056
0.009375,0.0236425
0.0103125,0.0246203
0.01125,0.0254592
0.0121875,0.0261767
0.013125,0.0267885
0.0140625,0.027308
0.015,0.0277473
0.0159375,0.0281167
0.016875,0.0284255
0.0178125,0.0286816
0.01875,0.028892
0.0196875,0.029063
0.020625,0.0291998
0.0215625,0.0293073
0.0225,0.0293894
0.0234375,0.0294499
0.024375,0.0294918
0.0253125,0.0295179
0.02625,0.0295305
0.0271875,0.0295318
0.028125,0.0295236
0.0290625,0.0295074
0.03,0.0294847
0.0309375,0.0294565
0.031875,0.029424
0.0328125,0.029388
0.03375,0.0293493
0.0346875,0.0293086
0.035625,0.0292664
0.0365625,0.0292232
0.0375,0.0291794
0.0384375,0.0291355
0.039375,0.0290916
0.0403125,0.0290481
0.04125,0.0290051
0.0421875,0.0289629
0.043125,0.0289215
0.0440625,0.0288812
0.045,0.0288419
0.0459375,0.0288038
0.046875,0.0287669
0.0478125,0.0287313
0.04875,0.0286969
0.0496875,0.0286639
0.050625,0.0286321
0.0515625,0.0286017
0.0525,0.0285725
0.0534375,0.0285446
0.054375,0.0285179
0.0553125,0.0284925
0.05625,0.0284682
0.0571875,0.0284451
0.058125,0.0284231
0.0590625,0.0284021
0.06,0.0283822
0.0609375,0.0283633
0.061875,0.0283453
0.0628125,0.0283282
0.06375,0.0283119
0.0646875,0.0282965
0.065625,0.0282818
0.0665625,0.0282678
0.0675,0.0282544
0.0684375,0.0282417
0.069375,0.0282296
0.0703125,0.0282179
0.07125,0.0282068
0.0721875,0.0281961
0.073125,0.0281857
0.0740625,0.0281758
0.075,0.0281661
0.0759375,0.0281567
0.076875,0.0281476
0.0778125,0.0281386
0.07875,0.0281299
0.0796875,0.0281212
0.080625,0.0281127
0.0815625,0.0281042
0.0825,0.0280958
0.0834375,0.0280875
0.084375,0.0280791
0.0853125,0.0280707
0.08625,0.0280623
0.0871875,0.0280538
0.088125,0.0280453
0.0890625,0.0280367
0.09,0.028028
0.0909375,0.0280192
0.091875,0.0280103
0.0928125,0.0280014
0.09375,0.0279923
0.0946875,0.0279831
0.095625,0.0279738
0.0965625,0.0279643
0.0975,0.0279548
0.0984375,0.0279452
0.099375,0.0279356
0.100312,0.0279258
0.10125,0.027916
0.102187,0.0279062
0.103125,0.0278963
0.104062,0.0278863
0.105,0.0278764
0.105937,0.0278665
0.106875,0.0278566
0.107812,0.0278467
0.10875,0.0278369
0.109687,0.0278271
0.110625,0.0278174
